# ブランドごとの公式な掲載順。**列 1 は並び順の鍵で、ブランド内での前後だけを決める。**
#   1: 並び順の鍵 / 2: 表示名 (空白除去) / 3: 出典側のブランド区分 / 4: 出典
#
# 出典 (取得日 2026-09-08):
#   meikan  … 公式アイドル名鑑 idollist.idolmaster-official.jp/search
#             鍵はそこの公式 id そのまま。765AS 以外はこちら。
#   starlit … アイドルマスター スターリットシーズン starlit-season.idolmaster.jp/idol/
#             765AS だけこちら (鍵 11001-)。名鑑の 765AS は五十音順で、
#             春香・千早・美希 から始まる 765AS の並びになっていないため。
#             ブランド全員 (13 人) が載っている一覧なのでそのまま使える。
#
# **ブランド専用の公式一覧がそのブランド全員を載せているときだけ、名鑑より優先する。**
# 一部しか載っていない一覧 (スターリットシーズンのデレマス枠など) は使わない。
#
# 取り直し手順は tools/apply_official_idol_order.py の docstring。
20119	西島櫂	deremas	meikan
20120	新田美波	deremas	meikan
20121	二宮飛鳥	deremas	meikan
20122	丹羽仁美	deremas	meikan
20123	野々村そら	deremas	meikan
20124	服部瞳子	deremas	meikan
20125	浜川愛結奈	deremas	meikan
20126	浜口あやめ	deremas	meikan
20127	早坂美玲	deremas	meikan
20128	速水奏	deremas	meikan
20129	原田美世	deremas	meikan
20130	柊志乃	deremas	meikan
20131	久川凪	deremas	meikan
20132	久川颯	deremas	meikan
20133	日野茜	deremas	meikan
20134	姫川友紀	deremas	meikan
20135	兵藤レナ	deremas	meikan
20136	福山舞	deremas	meikan
20137	藤居朋	deremas	meikan
20138	藤本里奈	deremas	meikan
20139	藤原肇	deremas	meikan
20140	双葉杏	deremas	meikan
20141	古澤頼子	deremas	meikan
20142	ヘレン	deremas	meikan
20143	北条加蓮	deremas	meikan
20144	星輝子	deremas	meikan
20145	堀裕子	deremas	meikan
20146	本田未央	deremas	meikan
20147	前川みく	deremas	meikan
20148	槙原志保	deremas	meikan
20149	松尾千鶴	deremas	meikan
20150	松永涼	deremas	meikan
20151	松原早耶	deremas	meikan
20152	松本沙理奈	deremas	meikan
20153	松山久美子	deremas	meikan
20154	的場梨沙	deremas	meikan
20155	間中美里	deremas	meikan
20156	真鍋いつき	deremas	meikan
20157	水木聖來	deremas	meikan
