song_id	title	work_title	subtitle	lyricist_raw	lyricist_norm	composer_raw	composer_norm	artist	song_type	brand_id	parent_song_id	is_version	interface_key	jasrac_code	jasrac_title	match_status	note
sc_スローモーション	スローモーション	スローモーション		中村彼方	中村彼方	岩越涼大	岩越涼大	風野灯織	solo	sc			imasdb-3f0f62f630af			unmatched	
sc_ダブルイフェクト	ダブル・イフェクト	ダブル・イフェクト		鈴木静那	鈴木静那	丸山真由子	丸山真由子	アルストロメリア(大崎甘奈、大崎甜花、桑山千雪)	unit	sc			imasdb-7e35a5a4a348			unmatched	
sc_チョコデートサンデー	チョコデート・サンデー	チョコデート・サンデー		児玉雨子	児玉雨子	中野領太	中野領太	園田智代子	solo	sc			imasdb-67928e847059			unmatched	
sc_ツバサグラビティ	ツバサグラビティ	ツバサグラビティ		こだまさおり	こだまさおり	山口朗彦	山口朗彦	シャイニーカラーズ(櫻木真乃、風野灯織、八宮めぐる、月岡恋鐘、田中摩美々、白瀬咲耶、三峰結華、幽谷霧子、小宮果穂、園田智代子、西城樹里、杜野凛世、有栖川夏葉、大崎甘奈、大崎甜花、桑山千雪)	all	sc			imasdb-4d7b44c2d3bd			unmatched	
sc_デビ太郎のうた	デビ太郎のうた	デビ太郎のうた		深川琴美	深川琴美	宝野聡史	宝野聡史	大崎甜花	solo	sc			imasdb-ebc4597c5b8f			unmatched	
sc_トライアングル	トライアングル	トライアングル		中村彼方	中村彼方	Giz'Mo (from Jam9) , ArmySlick	Giz'Mo (from Jam9);ArmySlick	イルミネーションスターズ(櫻木真乃、風野灯織、八宮めぐる)	unit	sc			imasdb-babb19eba8ac			unmatched	
sc_ハナサカサイサイ	ハナサカサイサイ	ハナサカサイサイ		古屋真	古屋真	金山秀士(Dream Monster)	金山秀士(Dream Monster)	放課後クライマックスガールズ(小宮果穂、園田智代子、西城樹里、杜野凛世、有栖川夏葉)	unit	sc			imasdb-0add42b889c8			unmatched	
sc_ハナマルバッジ	ハナマルバッジ	ハナマルバッジ		古屋真	古屋真	小久保祐希、YUU for YOU	小久保祐希;YUU for YOU	小宮果穂	solo	sc			imasdb-d127b7cac0d0			unmatched	
sc_ハナムケのハナタバ	ハナムケのハナタバ	ハナムケのハナタバ		園田健太郎	園田健太郎	園田健太郎	園田健太郎	コメティック(斑鳩ルカ、鈴木羽那、郁田はるき)	unit	sc			imasdb-f6768c6e48f2			unmatched	
sc_ハピリリ	ハピリリ	ハピリリ		鈴木静那	鈴木静那	SHOW (Digz, Inc. Group)	SHOW (Digz, Inc. Group)	アルストロメリア(大崎甘奈、大崎甜花、桑山千雪)	unit	sc			imasdb-9e5e8111e476			unmatched	
