song_id	title	artist	setlist_count
sidem_sign_of_hope	Sign of Hope	Altessimo（都築圭、神楽麗）	1
sidem_smiling_platter	Smiling Platter！	Café Parade（神谷幸広、東雲荘一郎、アスラン＝ベルゼビュートⅡ世、卯月巻緒、水嶋咲）	1
sidem_soothing_place	SOOTHING PLACE	FRAME（握野英雄、木村龍、信玄誠司）	1
sidem_starting	S!T!A!R!ting	DRAMATIC STARS（天道輝、桜庭薫、柏木翼）	1
sidem_stay_tuned_orbit	STAY TUNED ORBIT	Jupiter（天ヶ瀬冬馬、御手洗翔太、伊集院北斗）	1
sidem_stories	Stories	山下次郎、ピエール、冬美旬、黒野玄武、卯月巻緒、北村想楽	1
sidem_super_kick_rap	SUPER KICK & RAP	Ｗ（蒼井享介、蒼井悠介）	1
sidem_universe	Universe		1
sidem_vivamente	Vivamente！	Altessimo（都築圭、神楽麗）	1
sidem_wanderland	wanderland		1
sidem_watchword	Watchword	Ｗ（蒼井悠介、蒼井享介）	1
sidem_welcome_to_japan	Welcome to Japan！	鷹城恭二、信玄誠司、伊瀬谷四季、北村想楽	1
sidem_well_find_a_way	We’ll find a way	C.FIRST（天峰秀、花園百々人、眉見鋭心）	1
sidem_からふるとれじゃわるど	からふる・とれじゃ～わ～るど！	もふもふえん（岡村直央、橘志狼、姫野かのん）	1
sidem_その場所へ行くためにkeeponfightingrule〜牙ヲ穿テヨ〜battlemix	その場所へ行くために-KEEP ON FIGHTING- × RULE 〜牙ヲ穿テヨ〜 BATTLE MIX		1
sidem_ましゅまろ色のまほう使い	＊ましゅまろ色のまほう使い＊	もふもふえん（岡村直央、橘志狼、姫野かのん）	1
sidem_また明日の約束を	「また明日」の約束を	FRAME（握野英雄、木村龍、信玄誠司）	1
sidem_もくろみインディアnight	もくろみインディアNight	天ヶ瀬冬馬、猫柳キリオ、秋月涼	1
sidem_もふきゅとデイズ	もふ・きゅ～と・デイズ☆	もふもふえん（岡村直央、橘志狼、姫野かのん）	1
sidem_もふっとゆにばぁすとらべら	もふっと・ゆにばぁ〜す・とらべら〜！	もふもふえん（岡村直央、橘志狼、姫野かのん）	1
sidem_ゆきゆきて華やかに	ゆきゆきて華やかに	清澄九郎	1
sidem_らんまん開花	らんまん開花!	彩（猫柳キリオ、華村翔真、清澄九郎）	1
sidem_オーロラモーメント	オーロラ・モーメント	神楽麗	1
sidem_セブンデイズアルペジオ	セブンデイズ・アルペジオ	High×Joker（伊瀬谷四季、秋山隼人、若里春名、冬美旬、榊夏来）	1
sidem_ハナビラメールの空	ハナビラメールの空	Beit（鷹城恭二、ピエール、渡辺みのり）	1
sidem_ハローハイドレンジア	ハローハイドレンジア	DRAMATIC STARS（天道輝、桜庭薫、柏木翼）	1
sidem_ヒカリ待つ明日へ	ヒカリ待つ明日へ	神速一魂（紅井朱雀、黒野玄武）	1
sidem_ミートユメノトピア	ミート・ユメノトピア	F-LAGS（秋月涼、兜大吾、九十九一希）	1
sidem_夢の不思議なラビリンス	夢の不思議なラビリンス	Altessimo（都築圭、神楽麗）	1
sidem_幸燦燦と	幸燦燦と！	彩（猫柳キリオ、華村翔真、清澄九郎）	1
sidem_惑星が瞬いた夜に	惑星が瞬いた夜に	Jupiter（天ヶ瀬冬馬、御手洗翔太、伊集院北斗）	1
sidem_掲げよう偽りなき自分を	…掲げよう、偽りなき自分を。	九十九一希	1
sidem_浮世の演舞	浮世の演舞		1
sidem_黎明の轍	黎明の轍		1
765as_1人ぼっちの歌	1人ぼっちの歌	プロデューサー	0
765as_902pmremster-a	9:02pm(REM@STER-A)	双海亜美	0
765as_902pmremster-b	9:02pm(REM@STER-B)	秋月律子	0
765as_902pmドラゴンバスター_ファミソン8bit_mix	9:02pm(『ドラゴンバスター』 ファミソン8BIT MIX)	三浦あずさ、秋月律子	0
765as_acacia	ACACIA	Red Queen（ミナ、イェリ、ヘジュ、スア）	0
765as_arcadia_-bossa_nova_rearrange_mix-	arcadia -BOSSA NOVA Rearrange Mix-	如月千早	0
765as_attention	Attention	Red Queen（ミナ、イェリ、ヘジュ、ナギョン）	0
765as_because_of_you	Because of you	ジョンジュ	0
765as_best_road	BEST ROAD	たかはし智秋	0
765as_binarystar	Binary Star	三浦あずさ、秋月律子	0
765as_contradiction	Contradiction	今井麻美、たかはし智秋	0
765as_do-dairemster-a	Do-Dai(REM@STER-A)	星井美希、水瀬伊織	0
765as_do-dairemster-b	Do-Dai(REM@STER-B)	如月千早、我那覇響	0
765as_excavate	EXCAVATE	萩原雪歩	0
765as_first_stageremster-a	First Stage(REM@STER-A)	三浦あずさ	0
765as_first_stageremster-b	First Stage(REM@STER-B)	菊地真	0
