song_id	title	artist	setlist_count
other_diveout	Dive Out		1
other_fiestafiesta	Fiesta! Fiesta!		1
other_getmylove	GET MY LOVE!		1
other_givemeashake	Give me a Shake		1
other_lightning	Lightning		1
other_lovinme	Lovin' Me		1
other_rideontime	Ride on time		1
other_seventies	Seventies		1
other_toratoratora	TORA TORA TORA		1
other_vavavoom	Va-Va-Voom		1
other_おわらない僕らのmusic	おわらない僕らのMusic		1
other_アイドルマスターシンデレラガールズアイドルマスター劇伴	アイドルマスター シンデレラガールズ＆アイドルマスター劇伴		1
other_トウキョウ・ブラー	トウキョウ・ブラー		1
other_プライド・ブライト	プライド・ブライト		1
other_禁断少女	禁断少女		1
sc_another_rampage_sngular1ty_ver	Another Rampage (283 Production XXXX Performance XXX= S/N-GUL4R1TY Ver.)	ストレイライト	1
sc_candy_universe	CANDY UNIVERSE	八宮めぐる、三峰結華、小宮果穂、西城樹里、大崎甘奈	1
sc_future_designer	Future Designer	ストレイライト（芹沢あさひ、黛冬優子、和泉愛依）	1
sc_inthisunstableworld	in this unstable world		1
sc_lit_up_my_sky	Lit up my sky	Team.Luna（風野灯織、田中摩美々、三峰結華、幽谷霧子、杜野凛世、大崎甜花、和泉愛依、福丸小糸、斑鳩ルカ）	1
sc_midnight_parade	Midnight parade!	田中摩美々、白瀬咲耶、杜野凛世、大崎甜花、大崎甜花、和泉愛依	1
sc_migratory_echoes_アルストロメリアver	Migratory Echoes (アルストロメリアVer.)	アルストロメリア（大崎甘奈、大崎甜花、桑山千雪）	1
sc_migratory_echoes_イルミネーションスターズver	Migratory Echoes (イルミネーションスターズVer.)	イルミネーションスターズ（櫻木真乃、風野灯織、八宮めぐる）	1
sc_migratory_echoes_コメティックver	Migratory Echoes (コメティックVer.)	コメティック（斑鳩ルカ、鈴木羽那、郁田はるき）	1
sc_migratory_echoes_シーズver	Migratory Echoes (シーズVer.)	シーズ（七草にちか、緋田美琴）	1
sc_migratory_echoes_ストレイライトver	Migratory Echoes (ストレイライトVer.)	ストレイライト（芹沢あさひ、黛冬優子、和泉愛依）	1
sc_migratory_echoes_ノクチルver	Migratory Echoes (ノクチルVer.)	ノクチル（浅倉透、樋口円香、福丸小糸、市川雛菜）	1
sc_migratory_echoes_放課後クライマックスガールズver	Migratory Echoes (放課後クライマックスガールズVer.)	放課後クライマックスガールズ（小宮果穂、園田智代子、西城樹里、杜野凛世、有栖川夏葉）	1
sc_once_upon_a_secret	Once Upon a Secret	三峰結華	1
sc_one_live_one_love_mortal_remix	One Live One Love (Mortal Remix)	ストレイライト	1
sc_strawberrytrapper	Strawberry Trapper		1
sc_with_you	With you	アルストロメリア（大崎甘奈、大崎甜花、桑山千雪）	1
sc_さあ舞い上がれ	さあ舞い上がれ	放課後クライマックスガールズ（小宮果穂、園田智代子、西城樹里、杜野凛世、有栖川夏葉）	1
sc_ねぇねぇねぇ	ねぇ、ねぇ、ねぇ	櫻木真乃、幽谷霧子、園田智代子、桑山千雪、黛冬優子	1
sc_キズナシェアリング	キズナシェアリング	Team.Stella（櫻木真乃、月岡恋鐘、小宮果穂、園田智代子、大崎甘奈、芹沢あさひ、樋口円香、緋田美琴、鈴木羽那）	1
sc_グッバイ	グッバイ	ノクチル（浅倉透、樋口円香、福丸小糸、市川雛菜）	1
sc_メモワールアンタクト	メモワール・アンタクト	幽谷霧子	1
sc_レッド・ルーラー	レッド・ルーラー		1
sc_乱舞る	乱舞る	放課後クライマックスガールズ（小宮果穂、園田智代子、西城樹里、杜野凛世、有栖川夏葉）	1
sc_合縁事変	合縁事変		1
sc_想像のつばさ	想像のつばさ	櫻木真乃	1
sc_感謝のコントレイル	感謝のコントレイル	シャイニーカラーズ（櫻木真乃、風野灯織、八宮めぐる、月岡恋鐘、田中摩美々、白瀬咲耶、三峰結華、幽谷霧子、小宮果穂、園田智	1
sc_永遠色アーチ	永遠色アーチ	Team.Sol（八宮めぐる、白瀬咲耶、西城樹里、有栖川夏葉、桑山千雪、黛冬優子、浅倉透、市川雛菜、七草にちか、郁田はる	1
sidem_all_nor_nothing	ALL nOR NOTHING	神谷幸広、北村想楽、握野英雄、華村翔真、榊夏来、岡村直央	1
sidem_amazing_moment	Amazing Moment	VΔLZ（弦月藤士郎、長尾景、甲斐田晴］＆DRAMATIC STARS［天道輝、桜庭薫、柏木翼）	1
sidem_around_find_world	Around Find World！	S.E.M（硲道夫、舞田類、山下次郎）	1
sidem_azur	AZUR	Ｗ（蒼井享介、蒼井悠介）	1
sidem_beside_emotion	BeSide Emotion	S.E.M（硲道夫、舞田類、山下次郎）	1
sidem_best_wishes	Best Wishes.	Beit（鷹城恭二、ピエール、渡辺みのり）	1
sidem_bitter_sweetアドレセンス	Bitter Sweetアドレセンス	F-LAGS（秋月涼、兜大吾、九十九一希）	1
