song_id	candidate_url	candidate_title	note
ml_glowmap真壁瑞希ver	https://www.uta-net.com/song/289874/	765 MILLION ALLSTARS Glow Map
ml_glowmap馬場このみver	https://www.uta-net.com/song/289874/	765 MILLION ALLSTARS Glow Map
ml_glowmap高山紗代子ver	https://www.uta-net.com/song/289874/	765 MILLION ALLSTARS Glow Map
ml_good-sleep_babydj_wildparty_remix	https://www.uta-net.com/song/155667/	高槻やよい(仁後真耶子)・大神環(稲川英里)・中谷育(原嶋あかり)・矢吹可奈(木戸衣吹) Good-Sleep, Baby
ml_greedy_girl	https://www.uta-net.com/song/157303/	秋月律子(若林直美) GREEDY GIRL
ml_greedy_girlケンモチヒデフミ_remix	https://www.uta-net.com/song/157303/	秋月律子(若林直美) GREEDY GIRL
ml_growing_storm_teddyloid_remix	https://www.uta-net.com/song/167604/	乙女ストーム！ Growing Storm!
ml_happy_darling_giga_remix	https://www.uta-net.com/song/148528/	望月杏奈(夏川椎菜) Happy Darling
ml_happysteppingdreaming	https://www.uta-net.com/song/308473/	天海春香(中村繪里子) HAPPY♪STEPPING!!DREAMING☆
ml_harmony4you北上麗花ver	https://www.uta-net.com/song/305500/	765 MILLION ALLSTARS Harmony 4 You
ml_harmony4you如月千早ver	https://www.uta-net.com/song/305500/	765 MILLION ALLSTARS Harmony 4 You
ml_harmony4you桜守歌織ver	https://www.uta-net.com/song/305500/	765 MILLION ALLSTARS Harmony 4 You
ml_harmony4you真壁瑞希ver	https://www.uta-net.com/song/305500/	765 MILLION ALLSTARS Harmony 4 You
ml_harmony4you馬場このみver	https://www.uta-net.com/song/305500/	765 MILLION ALLSTARS Harmony 4 You
ml_harmony4you高山紗代子ver	https://www.uta-net.com/song/305500/	765 MILLION ALLSTARS Harmony 4 You
ml_heartデイズnight_toriena_remix	https://www.uta-net.com/movie/163073/	野々原茜(小笠原早紀) Heart・デイズ・Night☆
ml_helloコンチェルトチバニャン_remix	https://www.uta-net.com/song/157307/	秋月律子(若林直美)・木下ひなた(田村奈央)・佐竹美奈子(大関英里)・松田亜利沙(村川梨衣) Hello コンチェルト
ml_home_sweet_friendshipbatsu_remix	https://www.uta-net.com/song/174900/	リコッタ HOME, SWEET FRIENDSHIP
ml_hug_a_nice_day	https://www.uta-net.com/movie/382810/	高坂海美(上田麗奈)、白石紬(南早紀)、豊川風花(末柄里恵)、永吉昴(斉藤佑圭)、野々原茜(小笠原早紀)、矢吹可奈(木戸衣吹) Hug a nice day!
ml_impervious_resolution_toriena_remix	https://www.uta-net.com/song/178917/	萩原雪歩(浅倉杏美) Impervious Resolution
ml_impressionlocomotiontaku_takahashi_remix	https://www.uta-net.com/song/161581/	ロコ(中村温姫) IMPRESSION→LOCOMOTION!
ml_in_the_name_of_love_teddyloid_remix	https://www.uta-net.com/song/167603/	真壁瑞希(阿部里果) ...In The Name Of。...LOVE?
ml_just_be_myself_dummy_dog_remix	https://www.uta-net.com/song/170688/	如月千早(今井麻美) Just be myself!!
