song_id	title	artist	setlist_count
ml_glowmap真壁瑞希ver	Glow Map (真壁瑞希 Ver.)	真壁瑞希	0
ml_glowmap馬場このみver	Glow Map (馬場このみ Ver.)	馬場このみ	0
ml_glowmap高山紗代子ver	Glow Map (高山紗代子 Ver.)	高山紗代子	0
ml_good-sleep_babydj_wildparty_remix	Good-Sleep, Baby♡（DJ WILDPARTY Remix）	高槻やよい、大神環、中谷育、矢吹可奈	0
ml_greedy_girl	GREEDY GIRL	秋月律子	0
ml_greedy_girlケンモチヒデフミ_remix	GREEDY GIRL（ケンモチヒデフミ Remix）	秋月律子	0
ml_growing_storm_teddyloid_remix	Growing Storm! (TeddyLoid Remix)	乙女ストーム！（春日未来、伊吹翼、七尾百合子、真壁瑞希、望月杏奈）	0
ml_happy_darling_giga_remix	Happy Darling (Giga Remix)	望月杏奈	0
ml_happysteppingdreaming	HAPPY♪STEPPING!!DREAMING☆	天海春香	0
ml_harmony4you北上麗花ver	Harmony 4 You (北上麗花 Ver.)	北上麗花	0
ml_harmony4you如月千早ver	Harmony 4 You (如月千早 Ver.)	如月千早	0
ml_harmony4you桜守歌織ver	Harmony 4 You (桜守歌織 Ver.)	桜守歌織	0
ml_harmony4you真壁瑞希ver	Harmony 4 You (真壁瑞希 Ver.)	真壁瑞希	0
ml_harmony4you馬場このみver	Harmony 4 You (馬場このみ Ver.)	馬場このみ	0
ml_harmony4you高山紗代子ver	Harmony 4 You (高山紗代子 Ver.)	高山紗代子	0
ml_heartデイズnight_toriena_remix	Heart♡・デイズ・Night☆ (TORIENA Remix)	野々原茜	0
ml_helloコンチェルトチバニャン_remix	Helloコンチェルト（チバニャン Remix）	秋月律子、木下ひなた、佐竹美奈子、松田亜利沙	0
ml_home_sweet_friendshipbatsu_remix	HOME, SWEET FRIENDSHIP（Batsu Remix)	リコッタ（天海春香、周防桃子、福田のり子、松田亜利沙、横山奈緒）	0
ml_hug_a_nice_day	Hug a nice day!	高坂海美、白石紬、豊川風花、永吉昴、野々原茜、矢吹可奈	0
ml_impervious_resolution_toriena_remix	Impervious Resolution (TORIENA Remix)	萩原雪歩	0
ml_impressionlocomotiontaku_takahashi_remix	IMPRESSION→LOCOMOTION！（☆Taku Takahashi Remix）	ロコ	0
