song_id	title	artist	setlist_count
765as_私はアイドルremster-a	私はアイドル(REM@STER-A)	高槻やよい	0
765as_私はアイドルremster-b	私はアイドル♡(REM@STER-B)	如月千早、音無小鳥、萩原雪歩	0
765as_私はアイドルワルキューレの伝説ファミソン8bit_mix	私はアイドル♡(『ワルキューレの伝説』ファミソン8BIT MIX)	天海春香、星井美希	0
765as_約束_-hidekazu_tanaka_remix-	約束 -Hidekazu Tanaka Remix-	765PRO ALLSTARS	0
765as_自転車_-house_rearrange_mix-	自転車 -HOUSE Rearrange Mix-	菊地真	0
765as_蒼い鳥_-taku_inoue_remix-	蒼い鳥 -Taku Inoue Remix-	765PRO ALLSTARS	0
765as_蒼い鳥remster-a	蒼い鳥(REM@STER-A)	天海春香	0
765as_蒼い鳥remster-b	蒼い鳥(REM@STER-B)	萩原雪歩	0
765as_蒼い鳥ドラゴンスピリットファミソン8bit_mix	蒼い鳥(『ドラゴンスピリット』ファミソン8BIT MIX)	如月千早	0
765as_虹色ミラクル_-jazz_fusion_rearrange_mix-	虹色ミラクル -JAZZ FUSION Rearrange Mix-	萩原雪歩、菊地真、高槻やよい、双海亜美、四条貴音	0
765as_赤い花咲いた	赤い花咲いた	たかはし智秋	0
765as_隣に_-jazz_rearrange_mix-	隣に・・・ -JAZZ Rearrange Mix-	三浦あずさ	0
765as_飛べない鳥は夜に鳴く	飛べない鳥は夜に鳴く	音無小鳥 featuring 高木順二朗 and you、大塚芳忠）	0
765as_飛べスカイキッド	飛べ！スカイキッド	音無小鳥	0
765as_魔法をかけて_-ryo_watanabe_remix-	魔法をかけて! -Ryo Watanabe Remix-	765PRO ALLSTARS	0
765as_魔法をかけてremster-a	魔法をかけて！(REM@STER-A)	高槻やよい	0
765as_魔法をかけてremster-b	魔法をかけて！(REM@STER-B)	如月千早	0
765as_魔法をかけて妖怪道中記ファミソン8bit_mix	魔法をかけて！(『妖怪道中記』ファミソン8BIT MIX)	三浦あずさ、秋月律子	0
876_ソライロ_vα-liv_ver	ソライロ! (vα-liv ver)	レトラ、上水流宇宙、日高愛、水谷絵理、灯里愛夏、秋月涼	0
961_bangbang	BANG×BANG	天ヶ瀬冬馬	0
961_on_sunday	On Sunday	御手洗翔太	0
961_shine_my_way	Shine My Way	ZWEIGLANZ（玲音、詩花）	0
961_結晶crystal_dust	結晶〜Crystal Dust〜	伊集院北斗	0
cg_14平米にスーベニア_-広川恵一_remix-	14平米にスーベニア -広川恵一 Remix-	久川凪	0
cg_2nd_side_-雨あがり_remix-	2nd SIDE -雨あがり Remix-	CINDERELLA PROJECT	0
cg_blessing	Blessing	高垣楓	0
cg_cookiedough	Cookie Dough	高垣楓、三船美優、大和亜季	0
cg_demolish	Demolish	Threat Sign（本田未央、結城晴、ナターリア）	0
cg_dokidokiリズム_for_chieri_rearrange_mix	DOKIDOKIリズム 〜For Chieri rearrange MIX〜	緒方智絵里	0
cg_evermore_-_しんげきremix_-	EVERMORE - しんげきRemix -	神崎蘭子、二宮飛鳥	0
cg_hotel_moonside_-take_me_away_from_metropolis_remix-	Hotel Moonside -Take me away from Metropolis Remix-	一ノ瀬志希	0
cg_hotel_moonside_extended_live_version	Hotel Moonside (Extended Live Version)	速水奏	0
cg_last_kiss_-esti_remix-	Last Kiss -ESTi Remix-	三船美優	0
cg_lilac_time_ピクニックライブ_acoustic_ver	lilac time (ピクニックライブ Acoustic Ver.)	相葉夕美	0
cg_never_say_never_for_anastasia_rearrange_mix	Never say never 〜For Anastasia rearrange MIX〜	アナスタシア	0
cg_nswerののの物語	∀NSWER～ののの物語～	森久保乃々	0
cg_o-ku-ri-mo-no_sunday_-ヒゲドライバー_remix-	O-Ku-Ri-Mo-No Sunday! -ヒゲドライバー Remix-	miroir（久川颯、久川凪）	0
cg_otahen_アンセム_-massive_new_krew_remix-	OTAHEN アンセム -Massive New Krew Remix-	夢見りあむ	0
cg_poppinparapong	Poppin' para Pong!	赤城みりあ、市原仁奈、椎名法子	0
cg_pretty_liar_-ミフメイ_remix-	Pretty Liar -ミフメイ Remix-	ミステリアスアイズ（高垣楓、速水奏）	0
cg_romantic_now_-for_uzuki_rearrange_mix-	Romantic Now -For Uzuki rearrange MIX-	島村卯月	0
cg_rose_禁じられた愛	ROSE 〜禁じられた愛〜	木村夏樹、桐生つかさ、白雪千夜	0
cg_stage_bye_stage_-emontes_remix-	Stage Bye Stage -emon(Tes.) Remix-	島村卯月、渋谷凛、本田未央	0
cg_tokimekiエスカレート_-tropical_summer_nude_remix-	TOKIMEKIエスカレート -Tropical Summer Nude Remix-	城ヶ崎美嘉	0
cg_あんずのうた_-ノるあんず2000_dj過重労働_remix-	あんずのうた -ノるあんず2000 (DJ過重労働) Remix-	双葉杏	0
cg_あんずのうた_for_kirari_rearrange_mix	あんずのうた 〜For Kirari Rearrange MIX〜	諸星きらり	0
cg_おねえちゃんデスコ	おねえちゃんデスコ	市原仁奈	0
cg_おねだり_shall_we_-for_kanako_rearrange_mix-	おねだり Shall We 〜？ -For Kanako rearrange MIX-	三村かな子	0
cg_お願いシンデレラ_-_しんげきremix_-	お願い！シンデレラ - しんげきRemix -	島村卯月、小日向美穂	0
cg_お願いシンデレラ_-山本真央樹_remix-	お願い！シンデレラ -山本真央樹 Remix-	CINDERELLA PROJECT	0
