song_id	title	artist	setlist_count
765as_好きになった人	好きになった人		1
765as_好きになって、よかった	好きになって、よかった		1
765as_始めのdont_worry	始めのDon't worry	星井美希、水瀬伊織	1
765as_恋だもん初級編	恋だもん〜初級編〜	天海春香、高槻やよい	1
765as_想い出は永遠に	想い出は永遠に	音無小鳥	1
765as_明日があるさジョージアで行きましょう編	明日があるさ(ジョージアで行きましょう編)		1
765as_星のかけらを探しに行こうagain	星のかけらを探しに行こうagain		1
765as_月ノ桜	月ノ桜	四条貴音	1
765as_月下祭_la_festa_sotto_la_luna	月下祭　～la festa sotto la luna～	今井麻美	1
765as_東京は夜の七時〜thenightisstillyoung〜	東京は夜の七時〜the night is still young〜		1
765as_残酷よ希望となれ	残酷よ希望となれ	結城アイラ	1
765as_涙そうそう	涙そうそう		1
765as_涙のハリケーン	涙のハリケーン		1
765as_灯	灯	秋月律子	1
765as_私だって女の子	私だって女の子	秋月律子	1
765as_私はアイドル_2	私はアイドル♥	星井美希、天海春香、如月千早	1
765as_芽吹の季	芽吹の季	萩原雪歩	1
765as_虹	虹		1
765as_赤いスイートピー	赤いスイートピー		1
765as_遠い音楽	遠い音楽		1
876_adamas	ADAMAS		1
876_andone	AND ONE		1
876_angelicangel	Angelic Angel		1
876_beyond_my_destiny	Beyond My Destiny	#ヴイアラ（灯里愛夏、上水流宇宙、レトラ）	1
876_beyondtheway	Beyond the way		1
876_cando	Can Do		1
876_catchthemoment	Catch the Moment		1
876_catsmeow	Cat's Meow		1
876_chickchicklove	Chick Chick love♡		1
876_departuresあなたにおくるアイの歌	Departures ～あなたにおくるアイの歌～		1
876_fashioncheck	fashion check!		1
876_going	going...		1
876_hellomorning	Hello, Morning		1
876_holymoly	Holy Moly		1
876_iii	I I I		1
876_justbefriends	Just Be Friends		1
876_kickback	KICK BACK		1
876_looptheloop	loop the loop		1
876_luckytrain	lucky train!		1
876_magnet	magnet		1
876_makesomenoise	Make Some Noise		1
876_mrmusic	Mr.Music		1
876_mystar	MY STAR		1
876_nova_chro	Nova Chro	上水流宇宙	1
876_peekaboo	Peek-A-Boo!!		1
876_popcorndreaming	POPCORN DREAMING♪		1
876_popenemy	pop enemy		1
876_readysteady	Ready Steady		1
876_reawakerfeatfelixofstraykids	ReawakeR (feat. Felix of Stray Kids)		1
876_secretbase〜君がくれたもの〜	secret base〜君がくれたもの〜		1
