song_id	title	artist	setlist_count	lyrics_url	candidate_url	candidate_title	confidence	note
cg_star	Star!!	CINDERELLA PROJECT [島村卯月、渋谷凛、本田未央、双葉杏、三村かな子、城ヶ崎莉嘉、神崎蘭子、前川みく、諸星きらり、多田李衣菜、赤城みりあ、新田美波、緒方智絵里、アナスタシア	39		https://www.uta-net.com/song/181076/	CINDERELLA PROJECT Star!! 歌詞 - 歌ネット	high	曲名一致 + 関連名詞 1件
ml_precious_grain	Precious Grain	最上静香	38		https://www.uta-net.com/song/146949/	最上静香(田所あずさ) Precious Grain 歌詞 - 歌ネット	high	曲名一致 + 関連名詞 2件
ml_welcome	Welcome!!	765 MILLION ALLSTARS 天海春香、春日未来、如月千早、木下ひなた、四条貴音、ジュリア、高山紗代子、田中琴葉、天空橋朋花、箱崎星梨花、松田亜利沙、三浦あずさ、水瀬伊織、最上静香、望月杏奈、矢吹可奈、エミリー スチュアート、大神環、我那覇響、菊地真、北上麗花、高坂海美、佐竹美奈子、島原エレナ、高槻やよい、永吉昴、野々原茜、馬場このみ、福田のり子、舞浜歩、真壁瑞希、百瀬莉緒、横山奈緒、秋月律子、伊吹翼、北沢志保、篠宮可憐、周防桃子、徳川まつり、所恵美、豊川風花、中谷育、七尾百合子、二階堂千鶴、萩原雪歩、ロコ、双海亜美、双海真美、星井美希、宮尾美也	38		https://www.uta-net.com/song/254657/	765 MILLION ALLSTARS Welcome!! 歌詞 - 歌ネット	high	曲名一致 + 関連名詞 1件
765as_msterpiece	M@STERPIECE	765PRO ALLSTARS	36		https://www.uta-net.com/song/158899/	765PRO ALLSTARS M@STERPIECE 歌詞 - 歌ネット	high	曲名一致 + 関連名詞 1件
cg_goin	GOIN'!!!	CINDERELLA PROJECT [島村卯月、渋谷凛、本田未央、双葉杏、三村かな子、城ヶ崎莉嘉、神崎蘭子、前川みく、諸星きらり、多田李衣菜、赤城みりあ、新田美波、緒方智絵里、アナスタシア	36		https://www.uta-net.com/song/190993/	CINDERELLA PROJECT GOIN'!!! 歌詞 - 歌ネット	high	曲名一致 + 関連名詞 1件
765as_いっぱいいっぱい	いっぱいいっぱい	秋月律子	35		https://www.uta-net.com/song/260174/	秋月律子(若林直美) いっぱいいっぱい 歌詞 - 歌ネット	high	曲名一致 + 関連名詞 2件
ml_diamond_days	DIAMOND DAYS	七尾百合子、天空橋朋花、箱崎星梨花、松田亜利沙、ロコ	35		https://www.uta-net.com/song/214189/	七尾百合子(伊藤美来)、天空橋朋花(小岩井ことり)、箱崎星梨花(麻倉もも)、松田亜利沙(村川梨衣)、ロコ(中村温姫) DIAMOND DAYS 歌詞 - 歌ネット	high	曲名一致 + 関連名詞 9件
ml_トキメキの音符になって	トキメキの音符になって	箱崎星梨花	35		https://www.uta-net.com/song/146951/	箱崎星梨花(麻倉もも) トキメキの音符になって 歌詞 - 歌ネット	high	曲名一致 + 関連名詞 2件
765as_自分restrt	自分REST@RT	天海春香、星井美希、如月千早、高槻やよい、萩原雪歩、菊地真、双海真美、四条貴音、我那覇響	34		https://www.uta-net.com/song/275771/	天海春香(中村繪里子)、星井美希(長谷川明子)、如月千早(今井麻美)、高槻やよい(仁後真耶子)、萩原雪歩(長谷優里奈)、菊地真(平田宏美)、双海真美(下田麻美)、四条貴音(原由実)、我那覇響(沼倉愛美) 自分REST@RT (M@STER VERSION) 歌詞 - 歌ネット	high	曲名一致 + 関連名詞 17件
765as_風花	風花	四条貴音	34		https://www.uta-net.com/song/275887/	四条貴音(原由実) 風花 歌詞 - 歌ネット	high	曲名一致 + 関連名詞 2件
